date,close,volume
2020-07-17,140.4900,15200800
2020-07-16,120.2900,6940400
2020-07-15,111.1500,5250900
2020-07-14,109.9700,5390800
2020-07-13,104.3200,8636500
2020-07-10,94.3600,3072500
2020-07-09,96.3000,4348700
2020-07-08,98.3000,7900000
2020-07-07,104.5600,26483800
2020-07-06,79.4400,3832000
2020-07-02,81.6400,5213700
2020-07-01,79.7000,6612100
2020-06-30,83.3500,7782200
2020-06-29,83.6100,8693300
2020-06-26,77.3900,13522394
2020-06-25,83.5400,10743512
2020-06-24,77.5000,10960434
2020-06-23,69.6600,6138138
2020-06-22,65.9500,8431292
2020-06-19,64.7500,11569251
2020-06-18,59.2700,5654083
2020-06-17,55.4100,9350039
2020-06-16,52.1500,5026225
2020-06-15,51.0700,8699076
2020-06-12,45.5700,3297808
2020-06-11,44.4300,4089078
2020-06-10,44.9600,2308720
2020-06-09,45.9300,3875418
2020-06-08,44.7900,4812728
2020-06-05,46.3000,8077169
2020-06-04,44.6600,5713116
2020-06-03,44.2500,16950312
2020-06-02,49.6400,6538764
2020-06-01,52.8200,9710296
2020-05-29,46.0400,4119838
2020-05-28,44.8400,4964229
2020-05-27,45.4650,10439465
2020-05-26,48.1700,22045262
2020-05-22,46.1100,6083326
2020-05-21,50.0700,5449037
2020-05-20,52.8100,8180292
2020-05-19,53.9000,12579417
2020-05-18,56.9600,24660094
2020-05-15,43.6300,21892529
2020-05-14,38.3000,7832829
2020-05-13,40.6700,24237072
2020-05-12,39.8200,74649616
2020-05-11,24.5000,24642097
2020-05-08,18.7300,3075430
2020-05-07,18.1500,3396279
2020-05-06,17.1400,2481009
2020-05-05,17.7800,2948281
2020-05-04,18.0600,3736693
2020-05-01,17.3300,4761374
2020-04-30,18.1300,4548880
2020-04-29,18.4100,6512265
2020-04-28,20.5450,3982967
2020-04-27,21.0100,5280437
2020-04-24,19.8300,4969844
2020-04-23,20.3800,4911423
2020-04-22,21.3700,6488719
2020-04-21,21.5300,15517469
2020-04-20,23.8000,27006286
2020-04-17,19.0800,7478579
2020-04-16,18.1000,4188759
2020-04-15,17.5300,3455081
2020-04-14,18.0000,3936474
2020-04-13,17.6400,4114731
2020-04-09,17.0500,4766090
2020-04-08,17.1800,13825680
2020-04-07,14.9000,4704488
2020-04-06,16.1000,5415756
2020-04-03,15.6100,9144775
2020-04-02,13.8600,3110265
2020-04-01,14.0300,5953012
2020-03-31,13.5800,6296198
2020-03-30,14.3000,6502578
2020-03-27,13.0500,8245641
2020-03-26,12.7400,5287599
2020-03-25,11.7500,6975438
2020-03-24,12.7700,18556477
2020-03-23,10.7600,3064598
2020-03-20,10.3500,5726017
2020-03-19,11.5800,11901386
2020-03-18,10.6500,11017519
2020-03-17,9.5000,11623967
2020-03-16,6.9100,4779370
2020-03-13,8.4100,6115375
2020-03-12,9.2900,5488378
2020-03-11,10.5100,9102787
2020-03-10,10.6500,12365442
2020-03-09,10.0200,8328807
2020-03-06,12.4800,13250765
2020-03-05,12.8700,14057084
2020-03-04,11.3200,10977444
2020-03-03,10.7800,9957330
