date,close,volume
2020-07-20,12.8200,150496600
2020-07-17,11.0900,289514200
2020-07-16,12.9400,134084800
2020-07-15,13.5200,114166800
2020-07-14,14.0900,195253600
2020-07-13,13.8400,310058200
2020-07-10,14.9800,317735400
2020-07-09,14.5700,314527300
2020-07-08,12.8800,568960800
2020-07-07,13.2200,442681000
2020-07-06,11.5100,325679000
2020-07-02,9.3800,219628700
2020-07-01,7.9100,64427000
2020-06-30,7.7200,84229500
2020-06-29,7.2300,45876100
2020-06-26,6.9000,33453587
2020-06-25,7.0800,46442109
2020-06-24,6.8600,103575859
2020-06-23,7.2300,79627842
2020-06-22,7.4300,112647898
2020-06-19,7.3400,84037079
2020-06-18,7.1800,78503216
2020-06-17,6.8400,58838533
2020-06-16,6.9900,130245602
2020-06-15,6.8300,113172449
2020-06-12,6.1000,59687107
2020-06-11,5.9100,126114178
2020-06-10,6.3000,99921419
2020-06-09,6.6800,135060628
2020-06-08,5.9700,85523884
2020-06-05,5.5900,90517235
2020-06-04,5.9700,172617852
2020-06-03,5.6000,198303797
2020-06-02,4.7000,81717678
2020-06-01,4.2600,68951059
2020-05-29,3.9800,50301733
2020-05-28,3.8300,62756668
2020-05-27,4.1700,70224324
2020-05-26,3.8200,59622624
2020-05-22,3.2700,22798211
2020-05-21,3.3300,41491886
2020-05-20,3.4800,51576759
2020-05-19,3.6900,21654002
2020-05-18,3.6100,27771320
2020-05-15,3.3700,13618530
2020-05-14,3.4500,20891466
2020-05-13,3.4400,33945576
2020-05-12,3.6200,21720746
2020-05-11,3.7400,16542095
2020-05-08,3.7700,27705410
2020-05-07,3.6300,26666125
2020-05-06,3.6200,54209579
2020-05-05,3.2800,22283744
2020-05-04,3.3400,23323294
2020-05-01,3.1800,31175024
2020-04-30,3.4100,44389437
2020-04-29,3.6100,88971412
2020-04-28,3.3400,36164871
2020-04-27,3.2400,35576753
2020-04-24,2.9400,22069667
2020-04-23,3.0600,17372610
2020-04-22,3.0900,14493983
2020-04-21,3.0200,19758338
2020-04-20,3.1900,18635947
2020-04-17,3.2100,22827576
2020-04-16,3.2500,37409994
2020-04-15,3.2000,27425283
2020-04-14,3.0100,36367067
2020-04-13,2.9700,38232188
2020-04-09,2.6700,32671119
2020-04-08,2.7400,18225435
2020-04-07,2.7000,46032394
2020-04-06,2.4700,34819869
2020-04-03,2.4000,19404652
2020-04-02,2.3900,58748936
2020-04-01,2.6500,17058829
2020-03-31,2.7800,30216094
2020-03-30,2.7100,20065723
2020-03-27,2.8400,25045452
2020-03-26,2.9300,43577079
2020-03-25,2.7600,56486349
2020-03-24,2.6000,64569680
2020-03-23,2.3700,47296888
2020-03-20,2.4000,50454804
2020-03-19,2.3800,35441298
2020-03-18,2.4300,94183702
2020-03-17,2.9000,34718996
2020-03-16,2.9400,41179891
2020-03-13,3.1100,41674686
2020-03-12,3.1300,52216838
2020-03-11,3.3200,31094208
2020-03-10,3.5000,34795271
2020-03-09,3.2900,55002061
2020-03-06,3.5500,61159830
2020-03-05,3.7200,72596718
2020-03-04,3.8700,49320453
2020-03-03,4.0600,47501140
2020-03-02,4.1100,55891795
2020-02-28,4.1300,63621682
2020-02-27,4.1400,77412788
2020-02-26,4.3400,69556928
2020-02-25,4.4000,205890156
2020-02-24,3.8800,56025203
2020-02-21,4.0800,40425711
2020-02-20,4.2600,86788998
2020-02-19,4.0800,72970041
2020-02-18,3.8000,47696828
2020-02-14,3.7700,69481541
2020-02-13,4.0300,42234992
2020-02-12,4.0700,50757706
2020-02-11,3.9600,54033261
2020-02-10,3.8700,67035329
2020-02-07,3.8100,80603454
2020-02-06,4.0800,75460136
2020-02-05,4.3900,73554169
2020-02-04,4.5100,123430967
2020-02-03,4.0600,73844757
2020-01-31,3.7800,77698912
2020-01-30,4.0800,74852748
2020-01-29,4.2700,53344806
2020-01-28,4.2100,48746205
2020-01-27,4.0100,101438582
2020-01-24,4.6600,65433492
2020-01-23,4.9200,102385147
2020-01-22,4.7900,206949568
2020-01-21,5.1700,181125581
2020-01-17,4.6700,109385407
2020-01-16,4.3700,99176742
2020-01-15,4.2900,234552104
2020-01-14,3.7600,55193434
2020-01-13,3.7000,59739857
2020-01-10,3.5100,35626740
2020-01-09,3.4600,54632591
2020-01-08,3.3900,65119460
2020-01-07,3.2400,106557643
2020-01-06,3.6800,106602995
2020-01-03,3.8300,82884373
2020-01-02,3.7200,103718958
2019-12-31,4.0200,214992455
2019-12-30,3.7200,432806553
2019-12-27,2.4200,37548648
2019-12-26,2.5100,44171686
2019-12-24,2.5300,32029806
2019-12-23,2.6700,28561596
2019-12-20,2.6900,50968070
2019-12-19,2.6200,36293311
2019-12-18,2.6300,31805992
2019-12-17,2.5900,45643355
2019-12-16,2.4800,36909770
2019-12-13,2.3900,37228903
2019-12-12,2.2700,22404956
2019-12-11,2.2600,20237112
2019-12-10,2.2700,25204586
2019-12-09,2.2200,31533118
2019-12-06,2.2600,31982082
2019-12-05,2.2700,53232072
2019-12-04,2.4200,46850647
2019-12-03,2.4000,37980466
2019-12-02,2.4400,33041651
2019-11-29,2.2700,32640284
2019-11-27,2.4600,77337254
2019-11-26,2.2800,55568045
2019-11-25,2.0500,36894389
2019-11-22,1.9400,25172977
2019-11-21,1.9800,41458186
2019-11-20,1.8400,20751814
2019-11-19,1.8300,26804316
2019-11-18,1.8000,26520826
2019-11-15,1.8000,32240756
2019-11-14,1.7500,46749927
2019-11-13,1.9000,25008924
2019-11-12,1.9400,27759462
2019-11-11,1.8600,34321715
2019-11-08,1.9800,38391160
2019-11-07,2.0700,39506481
2019-11-06,2.0300,114081935
2019-11-05,2.3400,184185674
2019-11-04,1.7100,61155341
2019-11-01,1.5200,18017781
2019-10-31,1.4500,22389506
2019-10-30,1.4300,20823436
2019-10-29,1.3900,22357503
2019-10-28,1.4800,32720842
2019-10-25,1.5100,20526780
2019-10-24,1.5400,21601622
2019-10-23,1.5300,12568506
2019-10-22,1.5800,38989308
2019-10-21,1.6900,40231114
2019-10-18,1.5200,21479209
2019-10-17,1.4600,18378816
2019-10-16,1.4600,40798170
2019-10-15,1.5500,27656939
2019-10-14,1.5300,12585175
2019-10-11,1.5600,25699823
2019-10-10,1.5300,34019512
2019-10-09,1.6400,35871977
2019-10-08,1.7000,47176959
2019-10-07,1.5500,26917362
2019-10-04,1.6200,25295757
2019-10-03,1.6400,58694851
